N,n,object,runs,d_eff_mean,d_eff_std,r2_mean,comp_mean
4,0.4,supergraph,5,0.7939309897774157,0.008602594399062621,0.9999942756776796,24.6
4,0.8,supergraph,5,0.7797288293952491,0.0039930538228813975,0.9999847480136141,21.8
8,0.4,supergraph,5,0.7888849768170356,0.00931531118869352,0.9999928148853631,23.6
8,0.8,supergraph,5,0.7818947133534933,0.005865962064588445,0.9999870327363822,22.2
