N,n,NMI_mean,NMI_std,ARI_mean,ARI_std,K_mean,K_std,d_l2_mean,d_l2_std,comp_mean,comp_std,super_J_mean,super_J_std,super_corr_mean,super_corr_std
4,0.4,0.832691853539116,0.006018107621606603,0.5945040968582745,0.03984370379205097,44.2,2.706716791515818,0.021873151701001493,0.01363298648531357,43.8,2.6277867413271454,0.6044282593974047,0.09620751947121177,0.6570633453510417,0.09681102753610334
4,0.8,0.8341261997976049,0.015507532015766911,0.6303431217699125,0.04429025769073779,22.4,0.8207826816681232,0.01697314160949763,0.013888939138349493,22.4,0.8207826816681232,0.526544638980041,0.09944941960336458,0.9097533248273699,0.0246417951877448
8,0.4,0.8381661969309547,0.003922550133516012,0.5431755055579608,0.01614720253898352,75.4,3.761298767853018,0.0084989353470316,0.005327415515831208,75.4,3.761298767853018,0.42486689005253464,0.048218573147519754,0.7355887145754211,0.03452785398404916
8,0.8,0.8347844178407036,0.010948432707794482,0.6360060449444803,0.03270019419822935,22.4,1.046296727561194,0.0235232155898695,0.014105573463560209,22.4,1.046296727561194,0.3703559257287571,0.06401127089577377,0.8915706353678388,0.02937122621107693
