N,n,seed,bins_logged,threads,partition_source,supergraph_source,K,super_nodes,super_edges,transitions_total,transitions_mapped,coverage,missing_labels,inf_hops
4,0.4,56791,20,4,all,all,23,23,22,76,76,1.0,0,0
4,0.4,56792,20,4,all,all,25,25,24,76,76,1.0,0,0
4,0.4,56793,20,4,all,all,24,24,23,76,76,1.0,0,0
4,0.4,56794,20,4,all,all,28,28,27,76,76,1.0,0,0
4,0.4,56795,20,4,all,all,23,23,22,76,76,1.0,0,0
8,0.4,56791,20,8,all,all,24,24,23,152,152,1.0,0,0
8,0.4,56792,20,8,all,all,24,24,23,152,152,1.0,0,0
8,0.4,56793,20,8,all,all,24,24,23,152,152,1.0,0,0
8,0.4,56794,20,8,all,all,25,25,24,152,152,1.0,0,0
8,0.4,56795,20,8,all,all,21,21,20,152,152,1.0,0,0
