N,n,seed,bins_logged,threads,partition_source,supergraph_source,K,super_nodes,super_edges,transitions_total,transitions_mapped,coverage,missing_labels,inf_hops,frac_d0,frac_d1,frac_d2,frac_dge3,mean_d,mean_d_cond_change,core_frac_d0,core_frac_d1,core_frac_d2,core_frac_dge3,core_mean_d,core_mean_d_cond_change,halo_frac_d0,halo_frac_d1,halo_frac_d2,halo_frac_dge3,halo_mean_d,halo_mean_d_cond_change
4,0.8,56791,20,4,all,all,22,22,21,76,76,1.0,0,0,0.013157894736842105,0.868421052631579,0.11842105263157894,0.0,1.105263157894737,1.12,0.013157894736842105,0.868421052631579,0.11842105263157894,0.0,1.105263157894737,1.12,,,,,,
4,0.8,56792,20,4,all,all,22,22,21,76,76,1.0,0,0,0.07894736842105263,0.7368421052631579,0.18421052631578946,0.0,1.105263157894737,1.2,0.07894736842105263,0.7368421052631579,0.18421052631578946,0.0,1.105263157894737,1.2,,,,,,
4,0.8,56793,20,4,all,all,21,21,20,76,76,1.0,0,0,0.10526315789473684,0.7368421052631579,0.15789473684210525,0.0,1.0526315789473684,1.1764705882352942,0.10526315789473684,0.7368421052631579,0.15789473684210525,0.0,1.0526315789473684,1.1764705882352942,,,,,,
4,0.8,56794,20,4,all,all,22,22,21,76,76,1.0,0,0,0.05263157894736842,0.7894736842105263,0.15789473684210525,0.0,1.105263157894737,1.1666666666666667,0.05263157894736842,0.7894736842105263,0.15789473684210525,0.0,1.105263157894737,1.1666666666666667,,,,,,
4,0.8,56795,20,4,all,all,22,22,21,76,76,1.0,0,0,0.13157894736842105,0.631578947368421,0.23684210526315788,0.0,1.105263157894737,1.2727272727272727,0.13157894736842105,0.631578947368421,0.23684210526315788,0.0,1.105263157894737,1.2727272727272727,,,,,,
8,0.8,56791,20,8,all,all,21,21,20,152,152,1.0,0,0,0.09210526315789473,0.7631578947368421,0.14473684210526316,0.0,1.0526315789473684,1.1594202898550725,0.09210526315789473,0.7631578947368421,0.14473684210526316,0.0,1.0526315789473684,1.1594202898550725,,,,,,
8,0.8,56792,20,8,all,all,22,22,21,152,152,1.0,0,0,0.006578947368421052,0.881578947368421,0.1118421052631579,0.0,1.105263157894737,1.1125827814569536,0.006578947368421052,0.881578947368421,0.1118421052631579,0.0,1.105263157894737,1.1125827814569536,,,,,,
8,0.8,56793,20,8,all,all,23,23,22,152,152,1.0,0,0,0.10526315789473684,0.631578947368421,0.2631578947368421,0.0,1.1578947368421053,1.2941176470588236,0.10526315789473684,0.631578947368421,0.2631578947368421,0.0,1.1578947368421053,1.2941176470588236,,,,,,
8,0.8,56794,20,8,all,all,22,22,21,152,152,1.0,0,0,0.06578947368421052,0.7631578947368421,0.17105263157894737,0.0,1.105263157894737,1.1830985915492958,0.06578947368421052,0.7631578947368421,0.17105263157894737,0.0,1.105263157894737,1.1830985915492958,,,,,,
8,0.8,56795,20,8,all,all,23,23,22,152,152,1.0,0,0,0.07236842105263158,0.6973684210526315,0.23026315789473684,0.0,1.1578947368421053,1.24822695035461,0.07236842105263158,0.6973684210526315,0.23026315789473684,0.0,1.1578947368421053,1.24822695035461,,,,,,
