N,n,pairs,J_edges_mean,J_edges_std,J_edges_med,J_edges_q1,J_edges_q3,J_events_mean,J_events_std,J_events_med,J_events_q1,J_events_q3,core_edges_count_mean,core_events_count_mean,ball_comp_size_mean
4,0.4,10,0.1,0.31622776601683794,0.0,0.0,0.0,0.03850147629162769,0.008191696588934922,0.035892157632234266,0.03289204530926385,0.04341108452950558,0.6,265.6,1.6
4,0.8,10,0.0,0.0,0.0,0.0,0.0,0.8788809440811487,0.02430710385087346,0.87784286014455,0.8645216519392255,0.8997677244984861,67.6,1223.8,4.4
8,0.4,10,1.0,0.0,1.0,1.0,1.0,0.006198816478280947,0.005107605439671263,0.005988882911959835,0.0014285714285714286,0.010803237858032378,0.0,80.0,1.0
8,0.8,10,0.0006535947712418301,0.002066848143900901,0.0,0.0,0.0,0.9055914556120508,0.010810659937134011,0.9070869097722906,0.8992543198788653,0.915395536297024,70.6,2415.0,3.2
