N,n,seed_a,seed_b,d_l2,d_l1,d_max,comp_a,comp_b
4,0.4,56791,56792,0.00643146395710393,0.002941536405909186,0.029941663237781746,1725,1585
4,0.4,56791,56793,0.005797199505249706,0.002861115069513717,0.023506988038957344,1725,1683
4,0.4,56791,56794,0.005517060249104832,0.0031890761425778604,0.02374053671557297,1725,1618
4,0.4,56791,56795,0.0062260807822936215,0.003098616315337758,0.028342850962578436,1725,1541
4,0.4,56792,56793,0.00196434514498213,0.0014656658831172034,0.006434675198824402,1585,1683
4,0.4,56792,56794,0.005099769089853667,0.0038408006095061393,0.009065715745185277,1585,1618
4,0.4,56792,56795,0.0006918228455498342,0.00048540562899748973,0.0016581678086047685,1585,1541
4,0.4,56793,56794,0.0057220015846730175,0.0038345814747678987,0.012238780592957854,1683,1618
4,0.4,56793,56795,0.0015770028500493674,0.0012092780031610782,0.004835862923621093,1683,1541
4,0.4,56794,56795,0.005327537998424365,0.0039710226262557385,0.009957875747291386,1618,1541
4,0.8,56791,56792,0.003014596406747759,0.0023054624398235186,0.00850437995816855,1304,1317
4,0.8,56791,56793,0.009051664559039064,0.008159223516336763,0.01396649405996947,1304,1369
4,0.8,56791,56794,0.008768423011942144,0.0070213172295004265,0.02349033115840482,1304,1322
4,0.8,56791,56795,0.003071501302341992,0.001689996271185664,0.013145089655825837,1304,1295
4,0.8,56792,56793,0.007938906732802715,0.006567214083305383,0.02061077731058647,1317,1369
4,0.8,56792,56794,0.006256729459275864,0.004842600490531486,0.01498595120023627,1317,1322
4,0.8,56792,56795,0.0016593324372121885,0.0012764766067727329,0.004640709697657286,1317,1295
4,0.8,56793,56794,0.0070539973926822255,0.003433039016327399,0.03559672851082274,1369,1322
4,0.8,56793,56795,0.009289951750438681,0.007660238392583638,0.025251487008243756,1369,1295
4,0.8,56794,56795,0.0069857490405545505,0.005634979779238236,0.012265273161642276,1322,1295
8,0.4,56791,56792,0.0010963669895150568,0.0009103332089363829,0.0020933926140448422,1390,1411
8,0.4,56791,56793,0.019125755836824184,0.010982216143634382,0.05376913787509721,1390,1397
8,0.4,56791,56794,0.0039115256979466015,0.003341159358207982,0.009386627742773657,1390,1401
8,0.4,56791,56795,0.0044429398826290436,0.003523419932463138,0.010563331850511087,1390,1407
8,0.4,56792,56793,0.01965087769642681,0.011674792304548853,0.055437134448780845,1411,1397
8,0.4,56792,56794,0.003065235455376814,0.002431152513952048,0.007718631169090023,1411,1401
8,0.4,56792,56795,0.004466601252617526,0.003127426989265349,0.01223132842419472,1411,1407
8,0.4,56793,56794,0.022476354400700463,0.014095464486432185,0.06315576561787087,1397,1401
8,0.4,56793,56795,0.01573524857578536,0.010494481401187394,0.043205806024586124,1397,1407
8,0.4,56794,56795,0.006900706090269281,0.003923137104616942,0.019949959593284744,1401,1407
8,0.8,56791,56792,0.009549702061686555,0.004576551998514266,0.04096084896236918,2560,2581
8,0.8,56791,56793,0.007541220626592131,0.005191713485879316,0.021442333795849478,2560,2590
8,0.8,56791,56794,0.016801651166529118,0.008595754905151175,0.0725476482841958,2560,2599
8,0.8,56791,56795,0.010854313802753838,0.005809053446087216,0.047490234374999996,2560,2592
8,0.8,56792,56793,0.004225702540131592,0.0026574004134277086,0.0195185151665197,2581,2590
8,0.8,56792,56794,0.007406868520248051,0.004474053079533038,0.03158679932182662,2581,2599
8,0.8,56792,56795,0.0022859242387172937,0.0017034235483593236,0.006529385412630817,2581,2592
8,0.8,56793,56794,0.010210147386124168,0.004365485834319999,0.05110531448834632,2590,2599
8,0.8,56793,56795,0.00487646699242344,0.0018453988262455991,0.026047900579150518,2590,2592
8,0.8,56794,56795,0.006071231141329014,0.0031880133099242117,0.025057413909195803,2599,2592
