N,n,metric,count,mean,std,median,q1,q3
4,0.4,d_l1,10,0.0026897098159144065,0.0012172733712978476,0.003020076360623472,0.0018145281797163318,0.003673205141720389
4,0.4,d_l2,10,0.004435428400728447,0.002144731326659568,0.005422299123764599,0.0027482011312000144,0.0057784000251055335
4,0.4,d_max,10,0.01497231169713753,0.010397570069555632,0.01109832817012462,0.007092435335414621,0.023682149546419062
4,0.8,d_l1,10,0.004859054782560525,0.002546575342415738,0.00523879013488486,0.002587356583949489,0.006907791442951666
4,0.8,d_l2,10,0.006309085209303719,0.002770545143789625,0.0070198732166183875,0.00386780834157546,0.008561043942157287
4,0.8,d_max,10,0.017245722172155746,0.00909180220583507,0.01447622263010287,0.012485227285188166,0.022770442696450233
8,0.4,d_l1,10,0.006450358344324465,0.004774279763432011,0.00372327851854004,0.003180860081501007,0.010860282458022634
8,0.4,d_l2,10,0.010087161187809114,0.008167929055642422,0.005683653671443403,0.0040443792441172115,0.018278129021564476
8,0.4,d_max,10,0.027751111536023408,0.023404190404971704,0.016090644008739732,0.009680803769708014,0.05112830491246944
8,0.8,d_l1,10,0.004240684884744186,0.002062999716949335,0.004419769456926518,0.0027900536375518345,0.005037923114038053
8,0.8,d_l2,10,0.00798232284765352,0.004134331170142072,0.007474044573420091,0.005175158029649834,0.010045036055014766
8,0.8,d_max,10,0.03422863942950842,0.019088979868727058,0.02881734995048857,0.02234610382418606,0.04585788802184229
