N,n,pairs,J_edges_mean,J_edges_std,J_edges_med,J_events_mean,J_events_std,J_events_med,core_edges_count_mean,core_events_count_mean,J_edges_q1,J_edges_q3,J_events_q1,J_events_q3
4,0.4,10,0.010505110909929071,0.0018294609060405054,0.010658584946841174,0.28151042147905103,0.014143007532108655,0.2810156056339597,1959.4,1630.6,0.009154260573818133,0.01171119552563886,0.2742030643762752,0.29199715403901205
4,0.8,10,0.017109569131919914,0.001257836424036141,0.01693452483429361,0.9436173415990373,0.022165275541949487,0.9465536105032822,5894.6,1321.4,0.016324784265198643,0.017888127458421027,0.9317621202862016,0.9586328958999116
8,0.4,10,0.003154454368412061,0.0008999802125081473,0.003187412899144245,0.10677120278008564,0.005949220278527828,0.10843583306597891,1495.0,1401.2,0.0026827632461435278,0.0036083118743959392,0.10405540548939883,0.1109795946056719
8,0.8,10,0.009697638587436273,0.00046106168696408097,0.009717448108838365,0.9635542763968857,0.013424689651032799,0.9649513483398559,11869.8,2584.4,0.00946646109030783,0.009954979167020688,0.956147832502231,0.9736262106049729
