N,n,pairs_part,NMI_mean,NMI_std,ARI_mean,ARI_std,K_mean,K_std,K_min,K_max,pairs_sg,d_l2_mean,d_l2_std,comp_mean,comp_std,comp_min,comp_max,super_J_mean,super_J_std,super_corr_mean,super_corr_std,super_edges_mean,super_common_edges_mean
4,0.4,10,0.832691853539116,0.0060181076216066,0.5945040968582745,0.0398437037920509,44.2,2.706716791515818,40,48,10,0.0218731517010014,0.0136329864853135,43.8,2.6277867413271454,40,48,0.6044282593974047,0.09620751947121177,0.6570633453510417,0.09681102753610334,127.8,95.7
4,0.8,10,0.8341261997976049,0.0155075320157669,0.6303431217699125,0.0442902576907377,22.4,0.8207826816681232,21,23,10,0.0169731416094976,0.0138889391383494,22.4,0.8207826816681232,21,23,0.526544638980041,0.09944941960336458,0.9097533248273699,0.0246417951877448,65.2,44.7
8,0.4,10,0.8381661969309547,0.003922550133516,0.5431755055579608,0.0161472025389835,75.4,3.761298767853018,70,79,10,0.0084989353470316,0.0053274155158312,75.4,3.761298767853018,70,79,0.42486689005253464,0.048218573147519754,0.7355887145754211,0.03452785398404916,187.0,111.4
8,0.8,10,0.8347844178407036,0.0109484327077944,0.6360060449444803,0.0327001941982293,22.4,1.046296727561194,21,24,10,0.0235232155898695,0.0141055734635602,22.4,1.046296727561194,21,24,0.3703559257287571,0.06401127089577377,0.8915706353678388,0.02937122621107693,65.2,35.1
