N,n,Contain_edges_mean,Contain_edges_med,Contain_events_mean,Contain_events_med,Contain_edges_q1,Contain_edges_q3,Contain_events_q1,Contain_events_q3
4,0.4,0.021695762957045346,0.022002200220022,0.4521682205156532,0.4541915303471669,0.01843029380158093,0.024870035458234144,0.4392459933223746,0.46463866584311303
4,0.8,0.03366981876054385,0.0333276260751738,0.9832211942935324,0.9892759303500605,0.032138861463792724,0.03516222184474266,0.9735787715849066,0.9936413352440959
8,0.4,0.006287625418060201,0.006354515050167224,0.19360492250584646,0.1964924838940587,0.005351170568561873,0.0071906354515050164,0.1897252219637566,0.2001079860637432
8,0.8,0.01922012949856581,0.0192681780381097,0.9847954404924462,0.9850582166988417,0.018763067838090085,0.01971678966437657,0.9806424734359643,0.9900628995544363
