N,n,pairs,J_edges_mean,J_edges_std,J_edges_med,J_edges_q1,J_edges_q3,J_events_mean,J_events_std,J_events_med,J_events_q1,J_events_q3,d_l2_mean,d_l2_std,d_l2_med,d_l2_q1,d_l2_q3,core_edges_count_mean,core_events_count_mean,ball_comp_size_mean
4,0.4,10,0.0,0.0,0.0,0.0,0.0,0.011056728420793301,0.004809862609703634,0.011234527266591396,0.008578640327373703,0.01503096198156682,0.03592106040535498,0.046373889576016826,0.0,0.0,0.08980265101338746,1.2,810.2,1.8
4,0.8,10,0.0,0.0,0.0,0.0,0.0,0.2496740968196262,0.07324614946682621,0.21636783766766066,0.20577176739766448,0.29851770009038703,0.03937979105437777,0.022981085979646255,0.03668988068844371,0.023333976511632278,0.05208706677180509,158.2,4971.8,3.4
8,0.4,10,1.0,0.0,1.0,1.0,1.0,0.0017109299072497759,0.0021926814492891533,0.001,0.0,0.002282756070504129,0.0,0.0,0.0,0.0,0.0,0.0,231.4,1.0
8,0.8,10,0.0,0.0,0.0,0.0,0.0,0.24241721460745005,0.08961023291204545,0.23159334104023624,0.17857822401300172,0.30186895306859207,0.011973686801784986,0.0103053087946704,0.019956144669641643,0.0,0.019956144669641643,156.4,9897.0,3.0
