N,n,pairs_part,NMI_mean,NMI_std,ARI_mean,ARI_std,K_mean,K_std,K_min,K_max,pairs_sg,d_l2_mean,d_l2_std,comp_mean,comp_std,comp_min,comp_max
4,0.4,10,0.832691853539116,0.006018107621606603,0.5945040968582745,0.03984370379205097,44.2,2.706716791515818,40,48,10,0.021873151701001493,0.01363298648531357,43.8,2.6277867413271454,40,48
4,0.8,10,0.8341261997976049,0.015507532015766911,0.6303431217699125,0.04429025769073779,22.4,0.8207826816681232,21,23,10,0.01697314160949763,0.013888939138349493,22.4,0.8207826816681232,21,23
8,0.4,10,0.8381661969309547,0.003922550133516012,0.5431755055579608,0.01614720253898352,75.4,3.761298767853018,70,79,10,0.0084989353470316,0.005327415515831208,75.4,3.761298767853018,70,79
8,0.8,10,0.8347844178407036,0.010948432707794482,0.6360060449444803,0.03270019419822935,22.4,1.046296727561194,21,24,10,0.0235232155898695,0.014105573463560209,22.4,1.046296727561194,21,24
