N,n,edge_source,runs,K_mean,super_nodes_mean,super_edges_mean,trans_mean,clust_mean,F_mean,F_pos,Faug_mean,Faug_pos
4,0.4,all,5,24.6,24.6,23.6,0.0,0.0,0.08523642219294393,0.08523642219294393,0.08523642219294393,0.08523642219294393
4,0.8,all,5,21.8,21.8,20.8,0.0,0.0,0.09619047619047619,0.09619047619047619,0.09619047619047619,0.09619047619047619
8,0.4,all,5,23.6,23.6,22.6,0.0,0.0,0.08884057971014493,0.08884057971014493,0.08884057971014493,0.08884057971014493
8,0.8,all,5,22.2,22.2,21.2,0.0,0.0,0.09445887445887446,0.09445887445887446,0.09445887445887446,0.09445887445887446
