N,n,edge_source,runs,K_mean,super_nodes_mean,super_edges_mean,trans_mean,clust_mean,F_mean,F_pos,Faug_mean,Faug_pos
4,0.4,core,5,44.6,44.2,43.6,0.02583333333333333,0.014998314796090326,-0.008020396251918607,0.04597353701400657,0.07297050364696915,0.07297050364696915
4,0.8,core,5,21.8,21.8,20.8,0.0,0.0,0.09619047619047619,0.09619047619047619,0.09619047619047619,0.09619047619047619
8,0.4,core,5,76.6,76.6,78.2,0.0880879891517115,0.05523414650950631,-0.18573907681165983,0.023221231268248606,0.10857358868995659,0.11644740432163295
8,0.8,core,5,22.2,22.2,21.2,0.0,0.0,0.09445887445887446,0.09445887445887446,0.09445887445887446,0.09445887445887446
