N,n,edge_source,runs,K_mean,ds_mean,ds_std,ds_within_mean
4,0.4,all,5,24.6,0.3684562426375728,0.025512171284495545,0.7523310659471466
4,0.8,all,5,21.8,0.36081513447948166,0.03163917889124423,0.7515735804405925
8,0.4,all,5,23.6,0.3537079873098411,0.022068402702359085,0.7948047346602656
8,0.8,all,5,22.2,0.35689024646967815,0.01854472721012469,0.6943476988740626
