N,n,edge_source,runs,K_mean,ds_mean,ds_std,ds_within_mean
4,0.4,core,5,44.2,0.4514105266843589,0.08307599933645637,1.5501696108863094
4,0.8,core,5,21.8,0.36346859556941696,0.033286214452437624,0.7401948085627588
8,0.4,core,5,76.6,0.5256072533128899,0.11261044189054965,2.8747303781938074
8,0.8,core,5,22.2,0.36365642544136,0.013013353116254619,0.6666491316486736
