N,n,edge_source,mode,runs,K_mean,ds_mean,ds_std,ds_within_mean
4,0.4,core,exact,5,44.2,0.05595085841641149,0.45197409013283346,0.82660147835641
4,0.8,core,exact,5,21.8,-0.20958732987534043,0.22479883898306138,1.0024464593721
8,0.4,core,exact,5,76.6,0.49009362178658566,0.11907922277039856,0.5119530691764631
8,0.8,core,exact,5,22.2,0.05645111712342645,0.34113955961725007,0.7183512983384692
