N,n,seed,bins_logged,threads,partition_source,supergraph_source,K,super_nodes,super_edges,transitions_total,transitions_mapped,coverage,missing_labels,inf_hops,frac_d0,frac_d1,frac_d2,frac_dge3,mean_d,mean_d_cond_change,core_frac_d0,core_frac_d1,core_frac_d2,core_frac_dge3,core_mean_d,core_mean_d_cond_change,halo_frac_d0,halo_frac_d1,halo_frac_d2,halo_frac_dge3,halo_mean_d,halo_mean_d_cond_change
32,0.8,56791,20,32,all,all,15,15,14,608,608,1.0,0,0,0.3042763157894737,0.6546052631578947,0.04111842105263158,0.0,0.7368421052631579,1.0591016548463357,0.34615384615384615,0.6538461538461539,0.0,0.0,0.6538461538461539,1.0,0.3024054982817869,0.654639175257732,0.0429553264604811,0.0,0.7405498281786942,1.061576354679803
32,0.8,56792,20,32,all,all,16,16,15,608,608,1.0,0,0,0.31743421052631576,0.5756578947368421,0.1069078947368421,0.0,0.7894736842105263,1.1566265060240963,0.25925925925925924,0.7037037037037037,0.037037037037037035,0.0,0.7777777777777778,1.05,0.32013769363166955,0.5697074010327022,0.11015490533562823,0.0,0.7900172117039587,1.1620253164556962
32,0.8,56793,20,32,all,all,15,15,14,608,608,1.0,0,0,0.3470394736842105,0.569078947368421,0.08388157894736842,0.0,0.7368421052631579,1.128463476070529,0.4074074074074074,0.5185185185185185,0.07407407407407407,0.0,0.6666666666666666,1.125,0.3442340791738382,0.5714285714285714,0.08433734939759036,0.0,0.7401032702237521,1.1286089238845145
32,0.8,56794,20,32,all,all,6,6,5,608,608,1.0,0,0,0.743421052631579,0.25,0.006578947368421052,0.0,0.2631578947368421,1.0256410256410255,0.6363636363636364,0.36363636363636365,0.0,0.0,0.36363636363636365,1.0,0.7474402730375427,0.24573378839590443,0.006825938566552901,0.0,0.2593856655290102,1.027027027027027
32,0.8,56795,20,32,all,all,15,15,14,608,608,1.0,0,0,0.3190789473684211,0.625,0.05592105263157895,0.0,0.7368421052631579,1.0821256038647342,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0,0.7391304347826086,1.0625,0.31965811965811963,0.6239316239316239,0.05641025641025641,0.0,0.7367521367521368,1.0829145728643217
