N,n,seed,bins_logged,threads,partition_source,supergraph_source,K,super_nodes,super_edges,transitions_total,transitions_mapped,coverage,missing_labels,inf_hops
32,0.8,56791,20,32,all,all,15,15,14,608,608,1.0,0,0
32,0.8,56792,20,32,all,all,16,16,15,608,608,1.0,0,0
32,0.8,56793,20,32,all,all,15,15,14,608,608,1.0,0,0
32,0.8,56794,20,32,all,all,6,6,5,608,608,1.0,0,0
32,0.8,56795,20,32,all,all,15,15,14,608,608,1.0,0,0
