N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
32,0.8,66791,19498,17377,435621,74768,17376,6.221606747607836,1.0998350802773702,0.9747634069400631,5.103987267666851,True,20
32,0.8,66792,17250,15706,437870,76483,15706,6.3658905360755496,1.1253410915875717,0.9760383386581469,5.3846103499548335,True,20
32,0.8,66793,19501,17342,435629,75168,17340,6.060969913075869,1.0714382315258966,0.9792592592592593,5.0107525701840565,True,20
32,0.8,66794,20248,17923,434873,74466,17923,6.137560175114445,1.0849776049409796,0.9786259541984733,4.883614323861436,True,20
32,0.8,66795,18750,16827,436344,75630,16827,6.358158122469883,1.1239741810636952,0.9691176470588235,4.858977768286096,True,20
