metric,label,repA_mean,repA_sd,repB_mean,repB_sd,abs_diff_means
phi_core,Core fraction Φ,0.18203626729761319,0.01246473014420414,0.1844808995711135,0.008966343686593853,0.002444632273500308
Q_clock,Clock quality Q_clock,6.199935082495952,0.14374175772338119,6.228837098868716,0.1342299506917791,0.028902016372764017
core_events_count,Core events,16783.2,1168.9239496220446,17035.0,838.0426600120068,251.79999999999927
halo_events_count,Halo events,75408.2,1083.0617249261466,75303.0,791.2565955491303,105.19999999999709
core_edges_count,Core edges,18750.2,1499.6255199215568,19049.4,1136.8055242652545,299.2000000000007
halo_edges_count,Halo edges,436370.6,1495.5618676604454,436067.4,1134.012036973153,303.19999999995343
ball_comp_size,Ball component size,16782.6,1168.4495282210526,17034.4,837.7579005894245,251.8000000000029
frac_d0,Hop fraction d=0,0.40625,0.1891268584227788,0.5210526315789473,0.1917914084067445,0.11480263157894732
frac_d1,Hop fraction d=1,0.5348684210526315,0.16312937462957433,0.44046052631578947,0.14786358013731757,0.09440789473684208
frac_d2,Hop fraction d=2,0.05888157894736838,0.03870202440717149,0.03848684210526314,0.056085285151511115,0.020394736842105243
frac_dge3,Hop fraction d≥3,0.0,0.0,0.0,0.0,0.0
mean_d,Mean hop distance,0.6526315789473685,0.21891194045353074,0.5174342105263159,0.24082227631038003,0.13519736842105257
mean_d_cond_change,Mean hop distance | change,1.090391653289344,0.05262260627140446,1.0577266922094508,0.08416240791422658,0.03266496107989325
