N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
32,0.8,56791,19501,17402,435591,75018,17402,6.243348806246634,1.1036785695524827,0.9629629629629629,4.751644633145607,True,20
32,0.8,56792,19501,17309,435611,74567,17307,6.103557478476562,1.0789667205981603,0.9723076923076923,5.028423965902611,True,20
32,0.8,56793,20248,17951,434904,74543,17950,6.065729487062695,1.0722796132863075,0.9775784753363229,4.9661833151832955,True,20
32,0.8,56794,16500,15007,438613,77122,15007,6.159456347461247,1.0888483379280927,0.9780907668231612,5.252617770416188,True,20
32,0.8,56795,18001,16247,437134,75791,16247,6.427583293232617,1.1362469333215361,0.9793510324483776,5.047486656315305,True,20
