N,n,seed,bins_logged,threads,partition_source,supergraph_source,K,super_nodes,super_edges,transitions_total,transitions_mapped,coverage,missing_labels,inf_hops
32,0.8,66791,20,32,all,all,7,7,6,608,608,1.0,0,0
32,0.8,66792,20,32,all,all,16,16,15,608,608,1.0,0,0
32,0.8,66793,20,32,all,all,15,15,14,608,608,1.0,0,0
32,0.8,66794,20,32,all,all,9,9,8,608,608,1.0,0,0
32,0.8,66795,20,32,all,all,10,10,9,608,608,1.0,0,0
