N,n,seed_a,seed_b,J_super_edges,corr_weights,edges_a,edges_b,common_edges
32,0.8,56791,56792,0.4476987447698745,0.6112352344967782,178,168,107
32,0.8,56791,56793,0.44155844155844154,0.5257034901339553,178,155,102
32,0.8,56791,56794,0.4769874476987448,0.659518760413593,178,175,114
32,0.8,56791,56795,0.46835443037974683,0.5016749868928251,178,170,111
32,0.8,56792,56793,0.3686440677966102,0.4479679987092914,168,155,87
32,0.8,56792,56794,0.4533898305084746,0.6050985388102624,168,175,107
32,0.8,56792,56795,0.4083333333333333,0.4540594645097275,168,170,98
32,0.8,56793,56794,0.35802469135802467,0.5504145301023511,155,175,87
32,0.8,56793,56795,0.4069264069264069,0.50506310378481,155,170,94
32,0.8,56794,56795,0.41975308641975306,0.5677329822923272,175,170,102
