N,n,seed_a,seed_b,K_a,K_b,NMI,ARI
32,0.8,56791,56792,67,68,0.8343668317067099,0.5609372520750875
32,0.8,56791,56793,67,62,0.8323592899234159,0.5581810079729211
32,0.8,56791,56794,67,72,0.8348135132082243,0.5461437924372667
32,0.8,56791,56795,67,69,0.832962569446618,0.5879260314591508
32,0.8,56792,56793,68,62,0.8356842104684429,0.6076752915270033
32,0.8,56792,56794,68,72,0.8309570244780639,0.547833662150834
32,0.8,56792,56795,68,69,0.8345351374047175,0.5433094967608559
32,0.8,56793,56794,62,72,0.8329136031709231,0.5487019493928255
32,0.8,56793,56795,62,69,0.8346751775503557,0.5474502423281443
32,0.8,56794,56795,72,69,0.8381201675200988,0.567506971890713
