resolution,N,n,NMI_mean,NMI_std,ARI_mean,ARI_std,K_mean,K_std,K_min,K_max,J_super_mean,J_super_std,corr_mean,corr_std,d_l2_mean,d_l2_std,comp_mean,comp_min,comp_max,pairs
0.5,32,0.8,0.8228141544374455,0.00423440262679321,0.5217550800720636,0.03131414471551281,80.0,9.055385138137417,69,91,0.2759444328194577,0.030584153438011852,0.22133527653436708,0.12890068593186105,0.026077398715022782,0.016318598547877265,79.4,68,91,10
1.0,32,0.8,0.834138752487757,0.0019823268757353236,0.5615665697994803,0.021062147654798052,67.6,3.6469165057620936,62,72,0.424967048074941,0.04009895216066215,0.5428469090145921,0.06923630450825918,0.02258178015261014,0.012596275456577473,67.0,61,72,10
1.5,32,0.8,0.8248565747226764,0.004264815278914913,0.5251311287784712,0.02347831025136162,81.4,5.029910535983717,77,89,0.4698121178539948,0.0418138231575904,0.5720326882090878,0.07050098626645426,0.019903223250156997,0.012010705885231168,80.8,75,89,10
2.0,32,0.8,0.815652568215724,0.0061895429665096485,0.48823928312352577,0.021370577535971744,95.4,4.774934554525329,90,102,0.5146592515448644,0.01748860706747808,0.604300606202431,0.05467813404742796,0.017606019868297695,0.012960445257987332,94.8,89,102,10
