N,n,seed_a,seed_b,comp_a,comp_b,d_l2
32,0.8,56791,56792,67,66,0.0059458354080507685
32,0.8,56791,56793,67,61,0.01776193562553444
32,0.8,56791,56794,67,72,0.030793097913626194
32,0.8,56791,56795,67,69,0.015897770668745256
32,0.8,56792,56793,66,61,0.02363392728988096
32,0.8,56792,56794,66,72,0.024863755575539822
32,0.8,56792,56795,66,69,0.00996513471316324
32,0.8,56793,56794,61,72,0.048473080929878856
32,0.8,56793,56795,61,69,0.033583587588192215
32,0.8,56794,56795,72,69,0.014899675813489676
