resolution,N,n,NMI_mean,NMI_std,ARI_mean,ARI_std,K_mean,K_std,K_min,K_max,J_super_mean,J_super_std,corr_mean,corr_std,d_l2_mean,d_l2_std,comp_mean,comp_min,comp_max,pairs
0.5,16,0.8,0.7932262358924064,0.015381813204427967,0.5546235081446205,0.0576360645281584,47.2,8.043631020876083,41,60,0.20152899234394056,0.026071572443878727,0.032456511440022505,0.1785667247747198,0.08127413479903983,0.03574538641688966,47.2,41,60,10
1.0,16,0.8,0.8079420283921912,0.0208755378465302,0.6020077771528684,0.05361915313852992,15.8,1.3038404810405297,14,17,0.5775508042911054,0.041413217312548746,0.7570490548707065,0.10241090998740596,0.03235228267093687,0.01958097512508811,15.8,14,17,10
1.5,16,0.8,0.7999425185392391,0.012160622739986695,0.5747704281583225,0.043143914943495724,17.6,1.9493588689617927,16,21,0.5036893672647215,0.1125493617497604,0.7867049855656252,0.08478323983388197,0.037043921219701875,0.0364442433329372,17.6,16,21,10
2.0,16,0.8,0.808095684877926,0.011301627737729466,0.5986950792020483,0.03664912858596926,18.2,1.7888543819998317,16,21,0.5348747572631206,0.057759055108126046,0.716374918781338,0.14188453344537308,0.03710235391407181,0.029917253853026012,18.2,16,21,10
