N,n,seed,object,comp_size,r_lo,r_hi,d_eff,r2
16,0.8,56791,cloth,46664.0,,,,
16,0.8,56792,cloth,46386.0,,,,
16,0.8,56793,cloth,46377.0,,,,
16,0.8,56794,cloth,46309.0,,,,
16,0.8,56795,cloth,46233.0,,,,
